AS번호,접수일시,처리상태,처리완료일,주문번호,고객명,고객연락처,제품명,문제유형,증상설명,처리내용,처리결과,배송비,수리비,부품비,총비용,메모
cmkm5lbpr01m7o40spsb6oor8,2026-01-20T05:28:25.744Z,AS,,,,,?? 2ea,OTHER,"","",,0,0,0,0,""
cmkm5lbpo01m5o40shd1rpyx1,2026-01-20T05:28:25.740Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbpk01m3o40s79zm2ysa,2026-01-20T05:28:25.737Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbpg01m1o40s968fpvxt,2026-01-20T05:28:25.733Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbpc01lzo40swnzdospx,2026-01-20T05:28:25.729Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbp801lxo40spyn1yb88,2026-01-20T05:28:25.725Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbp401lvo40sefy7w71y,2026-01-20T05:28:25.721Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbp001lto40slx0ao18d,2026-01-20T05:28:25.717Z,AS,,,,,? 1+1,OTHER,"","",,0,0,0,0,""
cmkm5lbox01lro40se2m9s13o,2026-01-20T05:28:25.713Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbot01lpo40s2rq1op1k,2026-01-20T05:28:25.710Z,AS,,,,,?3(?),OTHER,"","",,0,0,0,0,""
cmkm5lbop01lno40sdysdybj1,2026-01-20T05:28:25.706Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbom01llo40s8tvx9s9l,2026-01-20T05:28:25.702Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lboi01ljo40s6npjidhg,2026-01-20T05:28:25.698Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lboe01lho40sqxgg61ud,2026-01-20T05:28:25.694Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
